snp chr pos maf n_HDL beta_HDL se_HDL n_LDL beta_LDL se_LDL n_TC beta_TC se_TC n_TG beta_TG se_TG annot gene rs Z.tg Z.tc Z.ldl Z.hdl mvstat mvp unip
rs10038271 5 156402979 0.165 99900 -0.001239 0.006376 95454 -0.04075 0.006927 100184 -0.04126 0.006812 96598 -0.02271 0.006231 2 TIMD4_TC:LDL:TG rs10038271 -3.505 -5.716 -5.612 0.031 39.9735607434804 7.35820260884072 7.96233157031213
rs10038723 5 74753409 0.211 99900 -0.01022 0.005541 95454 -0.05939 0.005992 100184 -0.05946 0.005893 96598 -0.001722 0.005464 2 HMGCR_TC:LDL rs10038723 0.009 9.47 9.228 1.888 103.540717700277 20.7611911272804 20.55308447372
rs1004165 19 49924045 0.413 91294 -0.01412 0.005595 85582 0.05707 0.005979 91389 0.04382 0.00583 87803 0.006077 0.005257 2 APOE_LDL:TC:HDL rs1004165 0.519 7.419 9.428 -2.449 96.8919352695268 19.3456855339881 20.3788418315403
rs10043960 5 74302099 0.25 99900 0.004667 0.005333 95454 -0.03604 0.005749 100184 -0.03628 0.005658 96598 -0.008644 0.005186 2 HMGCR_TC:LDL rs10043960 -1.707 -6.49 -6.141 0.313 45.6479739444585 8.53531715414979 10.0663286357555
rs10045282 5 74309097 0.448 99900 0.004518 0.00461 95454 0.03211 0.004995 100184 0.03302 0.004919 96598 0.002392 0.004514 2 HMGCR_TC:LDL rs10045282 -0.591 -6.652 -6.317 -1.131 48.2105968152299 9.06903269518871 10.5388967757253
rs10045497 5 74672240 0.385 99900 -0.008491 0.004666 95454 -0.07421 0.005039 100184 -0.0735 0.004953 96598 -0.003434 0.004575 2 HMGCR_TC:LDL rs10045497 0.872 14.099 13.922 1.513 226.292705308235 47.0813745662307 44.4143258488345
rs1004712 8 11659702 0.419 98036 -0.003725 0.004724 93597 0.004174 0.005117 98314 0.01126 0.005036 94728 0.02328 0.004633 2 PINX1_TG rs1004712 -5.073 -1.777 -0.266 -0.017 30.2199529910875 5.35508450691846 6.4071656349204
rs10047459 11 116227036 0.131 99900 0.03882 0.007163 95454 -0.02747 0.007833 100184 -0.03742 0.007697 96598 -0.08753 0.007066 2 APOA1_TG:TC:HDL:LDL rs10047459 -12.337 -4.92 -3.379 4.63 153.56007017442 31.4542774239881 34.2422282794538
rs10047462 11 116227251 0.084 99900 0.03819 0.008979 95454 -0.06204 0.009814 100184 -0.09754 0.009637 96598 -0.1623 0.008855 2 APOA1_TG:TC:HDL:LDL rs10047462 -17.84 -9.975 -6.082 3.574 341.716044685392 71.9675264824968 70.4613057283222
rs10048323 18 45458393 0.407 98409 -0.03901 0.004648 93999 -0.01272 0.005031 98656 -0.02454 0.004944 95070 -0.002276 0.00455 2 LIPG_HDL:TC rs10048323 -0.185 -4.798 -2.437 -7.844 78.9540323898469 15.5374418049154 14.3600982385972
rs10050384 5 156338524 0.188 99900 -0.002696 0.005895 95454 -0.04027 0.006408 100184 -0.04224 0.006303 96598 -0.02578 0.005851 2 TIMD4_TC:LDL:TG rs10050384 -3.993 -6.263 -5.843 -0.404 47.5439187693438 8.93007042550872 9.42292129845794
rs10054860 5 74482560 0.202 96908 0.005052 0.005602 92503 0.03626 0.006087 97148 0.03393 0.00599 93562 0.0003985 0.00554 2 HMGCR_TC:LDL rs10054860 0.476 -5.327 -5.72 -0.497 37.930760225195 6.93628234713705 7.97255231722206
rs10055011 5 74833912 0.129 96908 -0.003931 0.006796 92503 -0.05869 0.007367 97148 -0.05881 0.007197 93562 -0.005985 0.006623 2 HMGCR_TC:LDL rs10055011 0.6 7.478 7.27 0.834 62.4689328401235 12.0566359257331 13.1222705496227
rs10056022 5 75005171 0.086 99892 -0.01562 0.008401 95446 -0.05237 0.009033 100176 -0.05508 0.008859 96590 -0.00368 0.008337 2 HMGCR_TC:LDL rs10056022 0.952 5.911 5.5 1.409 36.9035508354104 6.72454499848996 8.46847378159787
rs10056811 5 74640976 0.307 99900 -0.001099 0.004974 95454 -0.07087 0.005403 100184 -0.06922 0.005289 96598 -0.006627 0.004845 2 HMGCR_TC:LDL rs10056811 1.17 12.445 12.525 0.181 180.160588251528 37.1619502426279 35.2636724242154
rs10057967 5 75033512 0.365 99736 -0.01653 0.004733 95291 -0.05107 0.005116 100016 -0.05381 0.005032 96430 0.00224 0.004647 2 HMGCR_TC:LDL rs10057967 0.29 -10.01 -9.326 -3.206 115.520551026377 23.315885105161 22.8609003812642
rs1005902 12 111152058 0.278 99881 -0.0007869 0.00509 95435 0.02839 0.005539 100164 0.02618 0.005445 96578 -0.001874 0.004949 2 BRAP_TC:LDL rs1005902 0.565 -4.718 -5.158 0.015 32.043933042932 5.7272419174945 6.60275260037561
rs10059560 5 156338362 0.187 99762 -0.003572 0.005912 95318 -0.04094 0.006431 100039 -0.04298 0.006326 96453 -0.02533 0.005869 2 TIMD4_TC:LDL:TG rs10059560 3.926 6.332 5.909 0.527 48.2896562536409 9.08551695055924 9.61617837596768
rs10059699 5 156398732 0.203 99849 -0.002158 0.005649 95403 -0.03611 0.006107 100132 -0.03804 0.006001 96546 -0.02352 0.00551 2 TIMD4_TC:LDL:TG rs10059699 4.181 5.713 5.328 -0.02 42.0310911522198 7.78420602553529 7.95467045128119
rs1005980 19 19132498 0.456 98409 0.002848 0.004646 93999 -0.02181 0.005044 98656 -0.02685 0.004966 95070 -0.01436 0.004546 2 CILP2_TC:TG:LDL rs1005980 3.477 5.321 4.089 -0.289 32.4549125136963 5.81127355182767 6.98632702436835
rs10061689 5 74807143 0.13 99822 -0.003928 0.006779 95376 -0.05862 0.00734 100099 -0.05925 0.007178 96513 -0.006002 0.006604 2 HMGCR_TC:LDL rs10061689 0.747 7.828 7.495 0.959 67.2923511299762 13.0726930832373 14.3047881435152
rs1006176 11 116293343 0.059 96781 0.03576 0.009774 92372 0.02559 0.01058 97063 0.05066 0.01043 93477 0.02468 0.009501 2 APOA1_TG:TC:HDL:LDL rs1006176 2.202 4.713 2.422 3.342 34.5523196114194 6.24105592525178 5.61243898676993
rs10062361 5 74600909 0.222 99900 -0.0007178 0.005578 95454 -0.0671 0.006036 100184 -0.06657 0.005926 96598 -0.008882 0.005447 2 HMGCR_TC:LDL rs10062361 1.124 10.75 10.555 0.277 131.624729459227 26.7570899998076 26.2272264985088
rs10064936 5 74572479 0.22 99900 0.008007 0.005482 95454 0.03761 0.005959 100184 0.03546 0.005866 96598 -0.002124 0.005411 2 HMGCR_TC:LDL rs10064936 -0.866 5.585 5.958 0.953 42.8825211015396 7.96077389417187 8.59287516317623
rs10066707 5 74596335 0.366 99900 0.006002 0.004772 95454 0.05028 0.005168 100184 0.04748 0.00508 96598 -0.001617 0.00467 2 HMGCR_TC:LDL rs10066707 -0.672 8.749 9.001 1.064 97.6154090215931 19.4996202165529 18.6503904158782
rs10067641 5 74958734 0.212 99900 -0.008561 0.005565 95454 -0.06063 0.006011 100184 -0.05971 0.005912 96598 -0.0009393 0.005477 2 HMGCR_TC:LDL rs10067641 0.049 -9.539 -9.404 -1.689 106.380683206547 21.3663499601384 20.8409859967315
rs10067900 5 74742417 0.138 99900 -0.006189 0.006683 95454 -0.05467 0.007182 100184 -0.0547 0.007064 96598 -0.003853 0.006502 2 HMGCR_TC:LDL rs10067900 -0.385 -7.396 -7.223 -1.249 61.5927620466038 11.8723206484171 12.8527937543866
rs10069709 5 74305318 0.25 99900 0.004803 0.005332 95454 -0.03595 0.005757 100184 -0.03618 0.005663 96598 -0.008729 0.005189 2 HMGCR_TC:LDL rs10069709 -1.698 -6.442 -6.118 0.328 45.0572338661368 8.41245761985912 9.92845200848266
rs10070207 5 74780984 0.216 99897 -0.01285 0.005581 95451 -0.04654 0.006041 100181 -0.04664 0.005946 96595 0.005207 0.005521 2 HMGCR_TC:LDL rs10070207 -1.065 7.463 7.234 2.212 70.6006320107648 13.7708220448594 13.0727613456566
rs1007205 1 62709500 0.325 99900 0.01451 0.004782 95454 0.04837 0.00519 100184 0.07152 0.005111 96598 0.06411 0.00469 2 ANGPTL3_TG:TC:LDL rs1007205 -13.411 -13.038 -8.392 -2.943 297.597252539788 62.4469144731202 40.2829029824426
rs10074747 5 74959359 0.133 99900 -0.003703 0.006782 95454 -0.059 0.007346 100184 -0.05803 0.007195 96598 -0.005181 0.006608 2 HMGCR_TC:LDL rs10074747 0.629 7.666 7.535 0.926 65.821875381015 12.7626988343828 13.7509406623591
rs10074789 5 74532733 0.202 99875 0.004969 0.005601 95430 0.03566 0.006076 100157 0.0336 0.005978 96571 2.036e-05 0.005531 2 HMGCR_TC:LDL rs10074789 0.714 -4.949 -5.42 -0.355 34.9384140650634 6.32033196786046 7.22476076902982
rs10075139 5 74761365 0.21 99900 -0.0107 0.005539 95454 -0.05852 0.00599 100184 -0.05882 0.005891 96598 -0.001553 0.005456 2 HMGCR_TC:LDL rs10075139 0.029 -9.379 -9.105 -1.968 101.527648240417 20.3324223427951 20.1765167839985
rs10075465 5 75006731 0.156 99890 -0.01493 0.006384 95444 -0.05322 0.006858 100174 -0.05534 0.006756 96588 0.003092 0.006385 2 HMGCR_TC:LDL rs10075465 0.375 -7.638 -7.374 -1.624 69.2763638355017 13.4912557296481 13.6563514547601
rs10077292 5 74530793 0.202 99900 0.005238 0.0056 95454 0.03583 0.006075 100184 0.03363 0.005977 96598 -1.595e-05 0.00553 2 HMGCR_TC:LDL rs10077292 -0.723 4.953 5.443 0.392 35.0573056580177 6.34475335481141 7.28074623865504
rs10077427 5 74873657 0.132 99900 -0.004205 0.006767 95454 -0.05857 0.00732 100184 -0.05835 0.007167 96598 -0.005068 0.006588 2 HMGCR_TC:LDL rs10077427 -0.597 -7.704 -7.502 -0.99 66.208244592572 12.8441307645195 13.8798479062508
rs10078671 5 74938604 0.132 99900 -0.003844 0.006768 95454 -0.05859 0.007321 100184 -0.05772 0.007166 96598 -0.005109 0.006588 2 HMGCR_TC:LDL rs10078671 -0.636 -7.662 -7.525 -0.927 65.6890043118233 12.7346979170539 13.7374073959926
rs10082609 11 116454284 0.244 99900 -0.02781 0.005266 95454 -0.004131 0.005707 100184 -0.02145 0.005618 96598 -0.01177 0.005176 2 APOA1_TG:TC:HDL:LDL rs10082609 2.229 3.624 0.724 5.673 54.8482756983671 10.4564644381604 7.85288590288891
rs1008420 19 59523789 0.286 98326 -0.03561 0.005437 93917 0.002656 0.005861 98572 -0.01294 0.005763 94986 0.003495 0.005283 2 LILRA3_HDL rs1008420 0.389 -2.363 0.227 -6.056 42.6263057629326 7.90762374730948 8.85527637916135
rs10084835 4 88430080 0.455 99825 0.008069 0.004587 95382 -0.002956 0.004996 100109 -0.01068 0.004923 96522 -0.02642 0.00451 2 KLHL8_TG rs10084835 5.348 2.431 0.926 -2.36 33.4811967720577 6.02138123842178 7.05094455078126
rs10085966 8 19620728 0.485 99900 -0.02391 0.004743 95454 0.00407 0.005123 100184 0.003753 0.005026 96598 0.0343 0.004646 2 LPL_TG:HDL rs10085966 -6.607 -0.941 -1 5.125 52.2127499921819 9.90478316113229 10.4065078689365
rs10085973 8 59650210 0.326 99900 0.002226 0.004929 95454 0.02607 0.005328 100184 0.02987 0.005249 96598 0.01423 0.004844 2 CYP7A1_TC:LDL rs10085973 -2.86 -5.634 -4.846 -0.502 33.2212467834934 5.96812735034441 7.75429732056662
rs1008723 17 35319793 0.483 98298 0.0279 0.00456 93890 -0.0004582 0.004952 98540 0.009151 0.004879 94954 -0.01044 0.004474 2 STARD3_HDL rs1008723 -1.579 1.863 0.016 6.12 38.4180381744384 7.03682575827152 9.02883850508586
rs10088180 8 18272396 0.298 99863 0.008558 0.005332 95418 -0.01881 0.005821 100146 -0.02662 0.005724 96560 -0.03741 0.005269 2 NAT2_TG:TC rs10088180 6.621 5.283 3.769 -0.996 55.0819049466779 10.5054152231638 10.4476031851312
rs10090425 8 59649730 0.327 99900 0.002153 0.004927 95454 0.02589 0.005325 100184 0.02967 0.005243 96598 0.01409 0.004843 2 CYP7A1_TC:LDL rs10090425 2.834 5.597 4.82 0.481 32.7633806661922 5.87438570751343 7.66135885600529
rs10090551 8 19600042 0.407 99900 0.02707 0.004632 95454 -0.004159 0.005005 100184 -0.003404 0.004926 96598 -0.03101 0.004525 2 LPL_TG:HDL rs10090551 5.949 0.842 0.979 -5.636 49.4141125275738 9.32008585136506 8.56898117083327
rs10090964 8 59618568 0.336 96908 0.000868 0.004816 92503 0.02579 0.005179 97148 0.03018 0.005096 93562 0.0167 0.004721 2 CYP7A1_TC:LDL rs10090964 -3.071 -5.448 -4.653 -0.075 31.7478267280963 5.66673716524327 7.29294652977769
rs1009136 19 19301428 0.335 98409 0.0009662 0.004808 93999 -0.01786 0.005221 98656 -0.02698 0.00514 95070 -0.02345 0.004707 2 CILP2_TC:TG:LDL rs1009136 -5.222 -5.115 -3.163 -0.036 42.4818451591699 7.87766266851918 6.7520243551741
rs10091952 8 59706967 0.322 99900 0.007804 0.004968 95454 0.02501 0.0054 100184 0.02917 0.005277 96598 0.01157 0.00488 2 CYP7A1_TC:LDL rs10091952 2.317 5.35 4.433 1.472 30.349137336598 5.38139872986027 7.0557432598112
rs10092137 8 19823984 0.018 87495 0.1876 0.01881 83250 -0.02911 0.02098 87778 -0.0152 0.02061 84193 -0.1606 0.01919 2 LPL_TG:HDL rs10092137 -7.873 -1.002 -1.517 9.277 111.237969177866 22.4020560196215 19.7586590853819
rs10092531 8 19824318 0.018 87495 0.1892 0.01885 83250 -0.03062 0.02103 87778 -0.01602 0.02067 84193 -0.1608 0.01922 2 LPL_TG:HDL rs10092531 -7.895 -1.061 -1.606 9.349 112.574918238281 22.6872733354612 20.0531534664881
rs10094907 8 10698318 0.255 99900 -0.02225 0.005284 95454 -0.001511 0.005718 100184 -0.0004797 0.005628 96598 0.02561 0.005149 2 PINX1_TG rs10094907 4.978 0.126 0.044 -3.962 30.8905657074954 5.49175976720467 6.19216299008229
rs10096561 8 19765113 0.22 99900 0.03415 0.00572 95454 0.003097 0.00622 100184 0.004254 0.006116 96598 -0.03043 0.005582 2 LPL_TG:HDL rs10096561 -5.813 0.278 0.107 5.906 51.8225680289516 9.82319324682245 8.45529466612802
rs10096633 8 19875201 0.131 99900 -0.1402 0.006735 95454 0.005012 0.00724 100184 0.001051 0.007143 96598 0.1407 0.006642 2 LPL_TG:HDL rs10096633 -20.969 0.13 -0.163 19.372 612.421522157029 130.49820741156 96.9000360435216
rs10097784 8 116630999 0.429 99853 -0.0281 0.004586 95408 0.01172 0.004985 100136 -0.002937 0.004911 96550 0.004911 0.004489 2 TRPS1_HDL rs10097784 -0.624 0.6 -2.316 6.139 47.2737481308446 8.87377837249195 9.08069923256664
rs10099153 8 59648313 0.328 99900 0.001757 0.004927 95454 0.02586 0.005334 100184 0.02969 0.005242 96598 0.01443 0.004842 2 CYP7A1_TC:LDL rs10099153 -2.901 -5.602 -4.816 -0.412 32.9398226130394 5.91050089775073 7.67388429999598
rs10099512 8 9216231 0.057 99900 0.06393 0.009735 95454 0.05512 0.01066 100184 0.07055 0.01044 96598 -0.01055 0.009733 2 PPP1R3B_HDL:TC:LDL rs10099512 1.002 -6.681 -5.336 -6.329 75.9455439366786 14.9006040320004 10.6246707332241
rs10099912 8 59641534 0.329 96908 0.001692 0.004917 92503 0.02604 0.005313 97148 0.02982 0.00522 93562 0.01449 0.00483 2 CYP7A1_TC:LDL rs10099912 2.764 5.503 4.768 0.235 31.5751457272874 5.63146786666278 7.42784613246517
rs1010207 19 19277045 0.325 98409 0.0003156 0.004827 93999 -0.01728 0.005231 98656 -0.02751 0.005157 95070 -0.02433 0.004724 2 CILP2_TC:TG:LDL rs1010207 5.437 5.237 3.124 0.158 45.9437820238351 8.59686321084745 7.26611981454566
rs10102164 8 55584167 0.188 99900 0.00178 0.005788 95454 -0.03414 0.006279 100184 -0.03381 0.006174 96598 -0.008979 0.005603 0 n.a. rs10102164 2.303 5.247 5.033 0.004 29.6019202286068 5.22929182770479 6.81080203087776
rs10102717 8 19801093 0.386 99900 -0.03244 0.004667 95454 0.0004822 0.005059 100184 0.001538 0.004972 96598 0.03359 0.004584 2 LPL_TG:HDL rs10102717 -7.397 -0.194 -0.116 7.234 80.8227267718273 15.9333125956787 12.8560627566965
rs10102876 8 19824065 0.018 87494 0.1981 0.01922 83249 -0.02814 0.02133 87777 -0.01281 0.02093 84192 -0.1699 0.01955 2 LPL_TG:HDL rs10102876 -8.067 -0.76 -1.352 9.644 118.56580550618 23.9660433805025 21.2830234234736
rs10103634 8 19934892 0.331 99900 -0.05387 0.004766 95454 0.0009867 0.005163 100184 -0.002425 0.005088 96598 0.04928 0.004679 2 LPL_TG:HDL rs10103634 -11.185 0.672 0.152 11.059 186.513254327997 38.5265266831267 28.3161378967917
rs10103996 8 55584977 0.183 99900 0.00356 0.005855 95454 -0.03398 0.006346 100184 -0.03303 0.00624 96598 -0.009808 0.0057 0 n.a. rs10103996 2.297 5.007 4.859 -0.174 27.4144932322977 4.78545019260057 6.25739325968599
rs10104003 8 55584993 0.189 99900 0.001738 0.005741 95454 -0.03384 0.006232 100184 -0.03306 0.006126 96598 -0.008183 0.005565 0 n.a. rs10104003 2.191 5.181 5.03 -0.001 29.015954327707 5.11017927302115 6.65619866575815
rs10104292 8 59633886 0.343 96648 0.0017 0.0048 92245 0.02596 0.005173 96885 0.02906 0.005086 93299 0.01406 0.004707 2 CYP7A1_TC:LDL rs10104292 -2.631 -5.317 -4.698 -0.219 29.571486051181 5.22310157815961 6.97678019221546
rs10104568 8 59602379 0.41 99900 -0.0007722 0.004617 95454 0.02078 0.004976 100184 0.02679 0.004901 96598 0.01411 0.004516 2 CYP7A1_TC:LDL rs10104568 3.042 5.053 3.698 0.277 28.4574630579004 4.99679585704706 6.36158672835529
rs10104997 8 55602621 0.19 99900 0.002223 0.005715 95454 -0.03376 0.006192 100184 -0.03284 0.006095 96598 -0.00785 0.005535 0 n.a. rs10104997 2.152 5.19 5.071 -0.077 29.2144565572029 5.15051285468313 6.67717295173528
rs10105057 8 19658619 0.259 99900 -0.01824 0.005269 95454 0.005436 0.005684 100184 0.005899 0.005592 96598 0.02966 0.005104 2 LPL_TG:HDL rs10105057 -5.502 -1.329 -1.226 3.728 33.7058918564497 6.06743153081676 7.42538201476372
rs10105418 8 19919645 0.026 94841 0.1655 0.01539 90533 -0.02451 0.01684 95123 -0.01026 0.01649 91537 -0.1386 0.01524 2 LPL_TG:HDL rs10105418 8.593 0.725 1.529 -10.333 134.640709088383 27.4023083868821 24.3012667535961
rs10105487 8 10706161 0.318 99900 -0.01741 0.004826 95454 -0.002972 0.005219 100184 0.001532 0.005139 96598 0.02362 0.004707 2 PINX1_TG rs10105487 5.314 0.26 -0.411 -3.457 33.076768390751 5.93853941615892 6.96962449366092
rs10105606 8 19872128 0.321 99900 -0.08356 0.004874 95454 0.007736 0.005248 100184 0.009206 0.005173 96598 0.08937 0.004764 2 LPL_TG:HDL rs10105606 -18.407 -1.164 -0.94 16.296 451.950973081987 95.783927894438 74.9376330880846
rs10106652 8 19972440 0.271 99900 -0.08143 0.00547 95454 0.0009571 0.005964 100184 -0.005554 0.005875 96598 0.07224 0.005375 2 LPL_TG:HDL rs10106652 -13.931 0.977 -0.014 14.83 310.604708895148 65.2529900431368 49.0281076748067
rs10106829 8 9222038 0.2 99900 0.03221 0.005648 95454 0.03067 0.006105 100184 0.03745 0.006009 96598 -0.003747 0.005516 2 PPP1R3B_HDL:TC:LDL rs10106829 1.493 -5.793 -4.843 -5.615 60.6316020173791 11.6702215678051 8.16026994970676
rs10107182 8 59555291 0.353 99889 0.004085 0.004742 95443 0.03088 0.005118 100173 0.03743 0.005031 96587 0.01786 0.004649 2 CYP7A1_TC:LDL rs10107182 -3.949 -6.913 -5.545 -0.818 51.3517679133944 9.72477590086431 11.323754678276
rs10108398 8 59603378 0.313 99900 0.002147 0.005144 95454 0.02867 0.00553 100184 0.03253 0.005445 96598 0.01665 0.005034 2 CYP7A1_TC:LDL rs10108398 -3.343 -5.738 -4.873 -0.513 35.889865248158 6.51589215167802 8.01862943135147
rs10109416 8 10722165 0.319 99900 -0.01681 0.004901 95454 -0.002317 0.005294 100184 0.0018 0.005216 96598 0.02368 0.004779 2 PINX1_TG rs10109416 -5.244 -0.413 0.248 3.241 31.1693452901028 5.54863042835368 6.8037348117646
rs10110111 8 59619729 0.335 99900 0.0006896 0.004814 95454 0.02547 0.00518 100184 0.02978 0.005107 96598 0.01648 0.004722 2 CYP7A1_TC:LDL rs10110111 -3.283 -5.515 -4.655 -0.21 33.068704689962 5.93688825600965 7.45744847797827
rs10111180 8 59674310 0.324 99855 0.005266 0.004944 95410 0.02489 0.005345 100138 0.02879 0.005255 96552 0.01141 0.004848 2 CYP7A1_TC:LDL rs10111180 2.3 5.25 4.521 0.975 28.6036315178849 5.02645669675604 6.81787304071565
rs10113323 8 59717260 0.326 99900 0.008382 0.005047 95454 0.02415 0.005452 100184 0.02942 0.005371 96598 0.01156 0.004945 2 CYP7A1_TC:LDL rs10113323 -2.259 -5.27 -4.271 -1.521 29.3583816444157 5.1797679272019 6.86510998871549
rs10115928 9 106690664 0.364 99167 -0.03163 0.004751 94759 -0.02383 0.005158 99452 -0.0422 0.005085 95865 -0.01056 0.004677 2 ABCA1_HDL:TC rs10115928 -2.201 -8.163 -4.422 -7.895 118.855132646174 24.0278290233544 15.4857119657468
rs1011685 8 19875049 0.121 99900 -0.1666 0.007657 95454 0.005718 0.00825 100184 0.0021 0.008127 96598 0.1684 0.007477 2 LPL_TG:HDL rs1011685 -22.515 0.139 -0.111 20.552 699.42707840491 149.333707790455 111.528798405764
rs10119 19 50098513 0.279 97008 0.02112 0.006427 92607 0.001474 0.006897 97255 -0.00792 0.006769 93669 -0.02946 0.006086 2 APOE_LDL:TC:HDL rs10119 5.531 1.675 0.012 -2.495 36.3260514632445 6.60563776715105 7.49701285715082
rs10120087 9 106700971 0.091 99179 -0.05002 0.008677 94769 0.001456 0.009493 99463 -0.01936 0.009295 95877 -0.009508 0.008717 2 ABCA1_HDL:TC rs10120087 0.784 2.075 -0.026 5.411 38.1452189618019 6.98052521770902 7.20291416602704
rs1012129 13 31868736 0.474 98928 -0.01409 0.004653 94483 0.02636 0.005033 99212 0.02301 0.004948 95627 0.00722 0.004548 0 n.a. rs1012129 -1.548 -4.436 -5.107 3.008 37.5391288285019 6.85552115229257 6.48503575199163
rs1012167 20 38592533 0.383 98404 0.001691 0.004772 93995 0.02655 0.005196 98651 0.03008 0.005089 95065 0.014 0.004673 2 MAFB_TC:LDL rs1012167 2.778 5.796 5.073 0.489 34.8951427338811 6.31144476812792 8.16803261162228
rs10127775 1 228362412 0.399 99838 -0.0437 0.004678 95393 0.001607 0.005061 100122 -0.007788 0.004975 96536 0.03387 0.004585 2 GALNT2_HDL:TG rs10127775 7.33 -1.245 0.419 -9.281 107.268250489123 21.5555406415089 19.7749614595976
rs10127790 1 109692656 0.308 99900 0.003057 0.005167 95454 -0.03954 0.00561 100184 -0.03528 0.005523 96598 -0.001593 0.005051 2 SORT1_LDL:TC rs10127790 0.294 6.109 6.717 -0.617 49.9564936746661 9.43330493005399 10.7316467932581
rs10128711 11 18589560 0.281 99845 0.008724 0.005142 95400 0.02851 0.005551 100129 0.0314 0.005461 96543 0.01147 0.004987 1 SPTY2D1_TC rs10128711 -2.044 -5.569 -5.131 -1.248 33.2899092242205 5.98219139400225 7.59141157487494
rs10157265 1 62866205 0.263 7807 -0.0339 0.0189 7776 -0.0546 0.0191 7806 -0.0904 0.0189 7805 -0.0934 0.0188 0 n.a. rs10157265 -4.621 -4.55 -2.668 -1.642 38.9539875476191 7.14748472179199 5.41805628302888
rs10158897 1 62685507 0.322 99900 0.01452 0.004987 95454 0.04914 0.005435 100184 0.0737 0.005346 96598 0.06476 0.004874 2 ANGPTL3_TG:TC:LDL rs10158897 -13.29 -13.073 -8.421 -2.939 294.841012395548 61.8524184526325 39.5774459141691
rs10159255 1 62793404 0.318 99900 0.01425 0.004811 95454 0.04948 0.005225 100184 0.0739 0.005139 96598 0.06531 0.004717 2 ANGPTL3_TG:TC:LDL rs10159255 -13.635 -13.312 -8.524 -2.94 307.753693689166 64.6378789790708 41.6055643427411
rs10160381 11 48556067 0.185 99900 0.03107 0.005755 95454 -0.001302 0.006233 100184 0.01344 0.006126 96598 -0.001087 0.005589 0 n.a. rs10160381 0.088 -2.434 -0.273 -5.399 34.3144732909661 6.1922434460164 7.17383851519204
rs10160784 11 75133703 0.185 99900 0.02497 0.006025 95454 -0.005195 0.006508 100184 0.01237 0.006407 96598 0.01251 0.005875 0 n.a. rs10160784 1.891 2.071 -0.632 4.167 33.7663505299547 6.07982522168977 4.51055553200342
